time,longitude,radius,latitude,Vr
2024-08-23 12:22:30,359.93068328778514,156.6935252663766,3.769494007116224,378.9649415692822
2024-09-19 17:22:30,358.8713024679343,86.7009426224284,3.763972858713381,369.68117594364594
2024-09-27 20:22:30,281.87061562994654,31.73660528125636,2.4343719642737156,320.89196279513476
2024-09-27 20:37:30,281.8717191473035,31.63841397869256,2.4265861104126807,334.365786949881
2024-09-27 20:52:30,281.87374846785843,31.540118939126117,2.4187352320264037,348.63243746164557
2024-09-27 21:07:30,281.8767132490569,31.441720189816813,2.410818566417092,329.5531923284214
2024-09-27 21:22:30,281.8806232847584,31.34321776462519,2.402835339599907,337.3638925875109
2024-09-27 21:37:30,281.88548850728006,31.244611704332335,2.394784766119558,339.8979883599738
2024-09-27 21:52:30,281.8913189901261,31.145902056698613,2.3866660488416325,347.0762959911541
2024-09-27 22:07:30,281.89812495031543,31.04708887668134,2.378478378752568,355.62015123244623
2024-09-27 22:22:30,281.90591675075456,30.94817222676011,2.3702209347647867,330.47686481359983
2024-09-27 22:37:30,281.914704903076,30.84915217695629,2.361892883491965,351.03604045958946
2024-09-27 22:52:30,281.92450007012997,30.750028805122856,2.353493379042282,350.3277820758174
2024-09-27 23:07:30,281.93531306848473,30.65080219726584,2.3450215628103845,338.8758166497969
2024-09-27 23:22:30,281.94715487141764,30.55147244759612,2.336476563241837,314.4232635788329
2024-09-27 23:37:30,281.960036611628,30.4520396588172,2.327857495612896,327.00025334052214
2024-09-27 23:52:30,281.9739695838236,30.35250394243113,2.3191634618072854,333.79069282136896
2024-09-28 00:07:30,281.9889652479297,30.25286541892595,2.310393550078256,335.0564819446158
2024-09-28 00:22:30,282.00503523198955,30.153124217946537,2.301546834803919,331.21739864755136
2024-09-28 00:37:30,282.02219133488666,30.05328047870749,2.2926223762589415,335.4150562221082
2024-09-28 00:52:30,282.04044552979775,29.95333435013636,2.2836192203576964,369.5495095993323
2024-09-28 01:07:30,282.05980996710895,29.853285991142688,2.2745363984031246,343.41018815142354
2024-09-28 01:22:30,282.0802969775801,29.75313557100228,2.265372926840781,341.86143572621035
2024-09-28 01:37:30,282.101919075815,29.652883269507164,2.2561278069866972,346.3789342155126
2024-09-28 01:52:30,282.1246889634485,29.552529277310516,2.2468000247671505,342.0822828871331
2024-09-28 02:07:30,282.1486195324769,29.45207379626524,2.2373885504524975,339.6185601164067
2024-09-28 02:22:30,282.1737238688869,29.35151703969819,2.227892338379762,340.67385035665507
2024-09-28 02:37:30,282.20001525617863,29.25085923263623,2.2183103266645054,338.393446441744
2024-09-28 02:52:30,282.2275071788394,29.150100612322824,2.208641436934555,330.01669449081805
2024-09-28 03:07:30,282.25621332619176,29.049241428400617,2.1988845740262777,329.90698783687094
2024-09-28 03:22:30,282.28614759610804,28.94828194326856,2.189038625691041,330.6626924702831
2024-09-28 03:37:30,282.3173240988267,28.84722243250859,2.1791024623028346,326.20774207011686
2024-09-28 03:52:30,282.3497571609198,28.74606318517387,2.169074936546175,340.956496120986
2024-09-28 04:07:30,282.38346132930906,28.64480450415606,2.1589548831048555,355.397777099316
2024-09-28 04:22:30,282.4184513752099,28.543446706682055,2.1487411183580205,345.79406537778016
2024-09-28 04:37:30,282.4547422986026,28.44199012454973,2.1384324400431307,331.4039023372287
2024-09-28 04:52:30,282.4923493322621,28.34043510458159,2.1280276269342853,324.4914363445248
2024-09-28 05:07:30,282.5312879461494,28.238782009138156,2.1175254385202007,342.8859095055333
2024-09-28 05:22:30,282.5715738518456,28.13703121642848,2.1069246146544955,345.47698073864876
2024-09-28 05:37:30,282.61322300727886,28.03518312094141,2.096223875211513,331.27869365609354
2024-09-28 05:52:30,282.656251621031,27.93323813400068,2.085421919748134,345.3343120505642
2024-09-28 06:07:30,282.70067615728595,27.83119668417107,2.07451742714302,351.9725129711345
2024-09-28 06:22:30,282.7465133407108,27.729059217644803,2.0635090552263513,328.1953941500675
2024-09-28 06:37:30,282.7937801611571,27.626826198920647,2.052395440433797,328.01125234971676
2024-09-28 06:52:30,282.84249387883347,27.524498111140392,2.0411751974161128,331.591445512636
2024-09-28 07:07:30,282.89267202957797,27.422075456650298,2.0298469186660437,335.79933497978726
2024-09-28 07:22:30,282.9443324297016,27.319558757627927,2.018409174144561,333.2325529425683
2024-09-28 07:37:30,282.99749318175395,27.21694855649853,2.006860510876614,323.434406180844
2024-09-28 07:52:30,283.05217267989036,27.1142454165124,1.9951994525569547,335.48743257354556
2024-09-28 08:07:30,283.1083896152378,27.01144992244025,1.9834244991614416,343.8581436350304
2024-09-28 08:22:30,283.1661629817379,26.90856268109265,1.971534126531316,318.4859118939729
2024-09-28 08:37:30,283.2255120821949,26.805584321823908,1.9595267859471024,310.261101836394
2024-09-28 08:52:30,283.28645653369506,26.70251549739924,1.9474009037366915,307.14901179385
2024-09-28 09:07:30,283.34901627404264,26.599356884460924,1.9351548808296413,336.8071553147238
2024-09-28 09:22:30,283.41321156811324,26.496109184165025,1.9227870923223185,372.43891334041587
2024-09-28 09:37:30,283.4790630135359,26.39277312309756,1.910295887069026,334.51472298188287
2024-09-28 09:52:30,283.54659154766534,26.289349453750223,1.8976795872127297,296.6303839732889
2024-09-28 10:07:30,283.615818454138,26.185838955280683,1.8849364877411283,283.1152696354389
2024-09-28 10:22:30,283.686765369273,26.082242434408663,1.8720648560520752,311.503361993309
2024-09-28 10:37:30,283.7594542891698,25.978560726025236,1.8590629314757308,275.7166706415454
2024-09-28 10:52:30,283.83390757679365,25.874794694003448,1.8459289248133464,276.79726627712853
