enc,rmse_accel,rmse_merged,rmse_mas
1,189.71386501385365,192.03502952839844,217.61710174004764
2,117.93045330233605,117.77598470490197,201.87193009294376
3,71.64234637528979,57.87790270097143,228.76919136791065
4,128.26461873371494,128.73469638706302,78.32804649755106
5,30.478483060277224,32.82206891854895,116.03134468914287
6,101.89212228083527,89.76929056486767,108.38379456754309
7,28.78630841769229,35.757935172873054,41.42353379521163
8,58.58446151762479,106.67188721081592,63.79899766915941
9,69.44840650787599,115.19118831917315,62.65062654588893
10,156.69844570909976,115.53627313281712,92.74971850392062
11,85.09903171348361,115.12680434911516,84.68335158320849
12,108.5684142085596,135.34407702282704,128.60962914504296
13,175.0863727044206,198.91863830935472,126.99919079851301
14,88.55782783952486,98.54431181815367,92.28057718094904
15,102.86255261361575,125.41734992249566,126.61560273298237
16,66.07825895316918,115.5050240613183,107.03570087647243
17,115.36752760878538,118.93175943877579,150.24244211185254
18,83.80885682757604,153.96445055347795,74.15573317815155
19,71.76317969788448,112.98790449263163,95.82541254420754
20,48.29086329589991,99.75858659834655,37.492308114944294
21,53.300302419496546,120.48351857026717,62.10605188160773
22,81.66578348961507,166.31357879979976,88.29075247088441
23,133.50555617040675,159.32970812071332,170.47851781565674
