Encounter,PSP_Time_UTC,PSP_Vr_kms,PSP_Lon_deg,PSP_Radius_Rs,PSP_Lat_deg,Earth_Time_UTC,Earth_Vr_kms,Earth_Lon_deg,Earth_Radius_Rs,Earth_Lat_deg
1,2018-11-03 08:52:30+00:00,294.2032512865796,319.17910160063815,41.23311510202342,0.0,,,,,0.0
1,2018-11-03 09:07:30+00:00,281.8932224439106,319.17960222413825,41.19559219168372,0.0,,,,,0.0
1,2018-11-03 09:22:30+00:00,306.93391647143,319.18037475021947,41.15815801130977,0.0,,,,,0.0
1,2018-11-03 09:37:30+00:00,323.1685670808279,319.18141928739493,41.12081297463537,0.0,,,,,0.0
1,2018-11-03 09:52:30+00:00,314.3650500811518,319.18273593869776,41.08355749621434,0.0,,,,,0.0
1,2018-11-03 10:07:30+00:00,319.89537577378223,319.1843248013894,41.04639199143207,0.0,,,,,0.0
1,2018-11-03 10:22:30+00:00,320.36958939121143,319.1861859671862,41.009316876477186,0.0,,,,,0.0
1,2018-11-03 10:37:30+00:00,311.20046104878844,319.188319521992,40.97233256834144,0.0,,,,,0.0
1,2018-11-03 10:52:30+00:00,277.16093078628313,319.1907255459667,40.93543948481209,0.0,,,,,0.0
1,2018-11-03 11:07:30+00:00,268.6989765907963,319.19340411342046,40.89863804446191,0.0,,,,,0.0
1,2018-11-03 11:22:30+00:00,268.2560934891486,319.1963552927505,40.86192866663325,0.0,,,,,0.0
1,2018-11-03 11:37:30+00:00,268.2153589315526,319.19957914641117,40.82531177143979,0.0,,,,,0.0
1,2018-11-03 11:52:30+00:00,272.0806282075063,319.2030757308901,40.78878777975034,0.0,,,,,0.0
1,2018-11-03 12:07:30+00:00,285.8514190317195,319.2068450965624,40.75235711318147,0.0,,,,,0.0
1,2018-11-03 12:22:30+00:00,262.2391485809683,319.2108872877151,40.716020194076755,0.0,,,,,0.0
1,2018-11-03 12:37:30+00:00,271.2966054535337,319.2152023424595,40.679777445524465,0.0,,,,,0.0
1,2018-11-03 12:52:30+00:00,275.38606010016696,319.21979029268783,40.64362929131617,0.0,,,,,0.0
1,2018-11-03 13:07:30+00:00,289.62379462675653,319.2246511640474,40.6075761559533,0.0,,,,,0.0
1,2018-11-03 13:22:30+00:00,285.0944450428133,319.2297849758286,40.57161846463666,0.0,,,,,0.0
1,2018-11-03 13:37:30+00:00,286.7726452689967,319.2351917409717,40.53575664324397,0.0,,,,,0.0
1,2018-11-03 13:52:30+00:00,297.84015025041737,319.2408714659423,40.49999111833726,0.0,,,,,0.0
1,2018-11-03 14:07:30+00:00,325.4944396574937,319.2468241507312,40.46432231713819,0.0,,,,,0.0
1,2018-11-03 14:22:30+00:00,301.3449835747752,319.2530497887599,40.428750667522486,0.0,,,,,0.0
1,2018-11-03 14:37:30+00:00,282.88104808111274,319.25954836689033,40.3932765980083,0.0,,,,,0.0
1,2018-11-03 14:52:30+00:00,275.99274421031714,319.26631986526945,40.35790053774384,0.0,,,,,0.0
1,2018-11-03 15:07:30+00:00,274.87479131886477,319.27336425737667,40.32262291649672,0.0,,,,,0.0
1,2018-11-03 15:22:30+00:00,276.97210636563346,319.28068150990464,40.28744416464343,0.0,,,,,0.0
1,2018-11-03 15:37:30+00:00,273.7822446012171,319.28827158272634,40.25236471315486,0.0,,,,,0.0
1,2018-11-03 15:52:30+00:00,273.7312268574049,319.29613442883607,40.21738499358735,0.0,,,,,0.0
