time,longitude,radius,latitude,Vr,SpiralOrigin_Lon_deg,SpiralOrigin_Rs,SpiralOrigin_Lat_deg
2019-04-02 03:52:30,354.3566005383019,41.26381361023399,-2.3393895784464593,300.4460559265442,350.37222583933044,30.0,-2.3393895784464593
2019-04-02 04:07:30,354.3568799462146,41.226220382721806,-2.348028313431204,303.05881703665887,350.4200390318743,30.0,-2.348028313431204
2019-04-02 04:22:30,354.35743115293246,41.18871555222506,-2.3566670966448204,302.2168730830454,350.42281155487876,30.0,-2.3566670966448204
2019-04-02 04:37:30,354.3582542714058,41.151299531783046,-2.3653057898025245,296.5567612687813,350.3619469659628,30.0,-2.3653057898025245
2019-04-02 04:52:30,354.35934940906515,41.11397273527516,-2.373944253566422,285.3748495554606,350.22035483504027,30.0,-2.373944253566422
2019-04-02 05:07:30,354.3607166677596,41.07673557740016,-2.382582347547276,274.75249446752343,350.07610594908897,30.0,-2.382582347547276
2019-04-02 05:22:30,354.36235614371157,41.039588473679935,-2.3912199303004873,278.78246690220135,350.15384333641015,30.0,-2.3912199303004873
2019-04-02 05:37:30,354.36426792746926,41.00253184043845,-2.399856859327843,272.0549874791319,350.06616147535135,30.0,-2.399856859327843
2019-04-02 05:52:30,354.36645210378117,40.96556609480749,-2.4084929910734605,275.83181271110766,350.1414402769288,30.0,-2.4084929910734605
2019-04-02 06:07:30,354.36890875166347,40.92869165470882,-2.4171281809247938,283.79857902706067,350.27630986501146,30.0,-2.4171281809247938
2019-04-02 06:22:30,354.3716379442368,40.89190893884705,-2.4257622832114856,277.0633347245409,350.19365973732715,30.0,-2.4257622832114856
2019-04-02 06:37:30,354.3746397487609,40.855218366696676,-2.434395151205744,286.68711418255236,350.35051331965167,30.0,-2.434395151205744
2019-04-02 06:52:30,354.3779142265069,40.8186203584962,-2.443026637120815,332.99685522382265,350.9251018916539,30.0,-2.443026637120815
2019-04-02 07:07:30,354.3814614327234,40.78211533524792,-2.451656592108515,331.88647746243737,350.92878690296135,30.0,-2.451656592108515
2019-04-02 07:22:30,354.3852814166025,40.74570371868914,-2.460284866263356,337.0069908180301,350.9965497760959,30.0,-2.460284866263356
2019-04-02 07:37:30,354.38937422124354,40.709385931291806,-2.468911308620036,334.66630430562566,350.98847465205995,30.0,-2.468911308620036
2019-04-02 07:52:30,354.39373988350815,40.673162396257695,-2.4775357671524185,332.8648522731685,350.98600026616407,30.0,-2.4775357671524185
2019-04-02 08:07:30,354.3983784341188,40.637033537498375,-2.486158088775551,333.29192064293204,351.0065258555541,30.0,-2.486158088775551
2019-04-02 08:22:30,354.40328989740726,40.60099977963465,-2.494778119343799,326.5677170283807,350.95332401003395,30.0,-2.494778119343799
2019-04-02 08:37:30,354.40847429147135,40.56506154797622,-2.503395703652997,318.709477035369,350.8854285709253,30.0,-2.503395703652997
2019-04-02 08:52:30,354.4139316279293,40.52921926851671,-2.512010685440132,295.3682494079279,350.6253767156493,30.0,-2.512010685440132
2019-04-02 09:07:30,354.4196619119819,40.4934733679316,-2.5206229073812514,284.3110610707769,350.4971277552446,30.0,-2.5206229073812514
2019-04-02 09:22:30,354.425665142333,40.457824273550045,-2.5292322110963736,283.6915692821369,350.5079204053922,30.0,-2.5292322110963736
2019-04-02 09:37:30,354.43194131113415,40.422272413347265,-2.5378384371494622,279.9937880964398,350.47595072261356,30.0,-2.5378384371494622
2019-04-02 09:52:30,354.4384904038861,40.386818215949894,-2.5464414250450744,278.96105912955704,350.4813617227768,30.0,-2.5464414250450744
2019-04-02 10:07:30,354.4453123994571,40.35146211060521,-2.5550410132343773,263.5788329386186,350.2715051246274,30.0,-2.5550410132343773
2019-04-02 10:22:30,354.45240726999407,40.31620452718363,-2.5636370391126,256.9360392320534,350.1852746140827,30.0,-2.5636370391126
2019-04-02 10:37:30,354.4597749808405,40.281045896149806,-2.5722293390244486,236.51822805450945,349.8400735651723,30.0,-2.5722293390244486
2019-04-02 10:52:30,354.46741549054997,40.24598664856891,-2.580817748261099,237.9935551500563,349.89200762289704,30.0,-2.580817748261099
2019-04-02 11:07:30,354.47532875072443,40.21102721609594,-2.5894021010615593,235.78056450673603,349.8727348653391,30.0,-2.5894021010615593
2019-04-02 11:22:30,354.4835147060587,40.17616803094409,-2.5979822306188387,240.88585141903172,349.99384695695835,30.0,-2.5979822306188387
2019-04-02 11:37:30,354.49197329422094,40.14140952588986,-2.606557969077267,236.27751679155185,349.9303738376496,30.0,-2.606557969077267
2019-04-02 11:52:30,354.5007044459037,40.1067521342487,-2.6151291475380116,251.0074931086695,350.2214692771144,30.0,-2.6151291475380116
2019-04-02 12:07:30,354.50970808464257,40.07219628987205,-2.623695596057792,261.4357262103506,350.4152118970415,30.0,-2.623695596057792
2019-04-02 12:22:30,354.5189841267834,40.03774242713806,-2.6322571436509867,252.56938647746244,350.29525008826266,30.0,-2.6322571436509867
2019-04-02 12:37:30,354.52853248147835,40.00339098092333,-2.640813618295253,270.65263811779323,350.6004897430159,30.0,-2.640813618295253
2019-04-02 12:52:30,354.5383530506099,39.96914238660171,-2.649364846931306,256.9165663703071,350.414464542121,30.0,-2.649364846931306
2019-04-02 13:07:30,354.54844572873304,39.93499708002781,-2.6579106554660097,265.10851419031724,350.56567511885174,30.0,-2.6579106554660097
2019-04-02 13:22:30,354.5588104030267,39.90095549752671,-2.6664508687747035,259.29152754590984,350.5006425358014,30.0,-2.6664508687747035
2019-04-02 13:37:30,354.5694469532346,39.867018075871,-2.674985310706147,241.6818728889234,350.2305126784732,30.0,-2.674985310706147
2019-04-02 13:52:30,354.58035525160983,39.83318525228107,-2.6835138040822715,240.32301898513023,350.23184923153167,30.0,-2.6835138040822715
2019-04-02 14:07:30,354.5915351628347,39.79945746439994,-2.6920361707038936,231.7350623131576,350.0973443385881,30.0,-2.6920361707038936
2019-04-02 14:22:30,354.6029865440415,39.76583515028925,-2.7005522313517245,233.65505008347247,350.16101837043266,30.0,-2.7005522313517245
2019-04-02 14:37:30,354.6147092446528,39.732318748406854,-2.7090618057920635,227.08389952245992,350.0598893754204,30.0,-2.7090618057920635
2019-04-02 14:52:30,354.62670310643193,39.698908697591285,-2.7175647127804416,227.0606048841092,350.0870537813962,30.0,-2.7175647127804416
