PSP_Time_UTC,PSP_Vr_kms,PSP_Lon_deg,PSP_Radius_Rs,PSP_Lat_deg,Earth_Arrival_UTC,Earth_Vr_kms,Earth_Lon_deg,Earth_Radius_Rs,Earth_Lat_deg
2024-12-22 07:07:30+00:00,289.2060243775468,142.53692558699024,30.66578107547799,0.0,2024-12-27 10:19:12.818040702+00:00,428.1643439594119,142.53692558699024,215.03215567054764,0.0
2024-12-22 07:22:30+00:00,265.48713965011467,142.53798466699396,30.562289471736644,0.0,2024-12-27 21:39:06.996493489+00:00,427.2229842776781,142.53798466699396,215.03215567054764,0.0
2024-12-22 07:37:30+00:00,265.4123808498034,142.54005411652997,30.458663715919915,0.0,2024-12-27 22:00:54.779346372+00:00,426.6067474314697,142.54005411652997,215.03215567054764,0.0
2024-12-22 07:52:30+00:00,250.06689411722468,142.5431455806182,30.354903602268266,0.0,2024-12-28 06:35:32.380980323+00:00,425.68671900349085,142.5431455806182,215.03215567054764,0.0
2024-12-22 08:07:30+00:00,263.6663418975024,142.5472708804967,30.251008928076516,0.0,2024-12-27 23:33:26.518832087+00:00,424.77820490515745,142.5472708804967,215.03215567054764,0.0
2024-12-22 08:22:30+00:00,265.38756594659145,142.552442071526,30.14697950739776,0.0,2024-12-27 23:00:17.081511229+00:00,424.1899635790612,142.552442071526,215.03215567054764,0.0
2024-12-22 08:37:30+00:00,267.6955131938243,142.5586713737251,30.04281515286476,0.0,2024-12-27 22:10:09.212818667+00:00,423.3025977489047,142.5586713737251,215.03215567054764,0.0
2024-12-22 08:52:30+00:00,284.3832436513473,142.56597120212226,29.93851568267776,0.0,2024-12-27 14:39:13.209099873+00:00,422.73254870626215,142.56597120212226,215.03215567054764,0.0
2024-12-22 09:07:30+00:00,277.58963947998683,142.57435417053907,29.834080920684148,0.0,2024-12-27 18:03:16.647709340+00:00,421.8662198931583,142.57435417053907,215.03215567054764,0.0
2024-12-22 09:22:30+00:00,267.7969551500664,142.58383309582354,29.72951069659109,0.0,2024-12-27 23:05:41.022672909+00:00,421.3143071863569,142.58383309582354,215.03215567054764,0.0
2024-12-22 09:37:30+00:00,266.56313494066336,142.59442100160092,29.624804846319407,0.0,2024-12-28 00:02:22.470716658+00:00,420.46890516149216,142.59442100160092,215.03215567054764,0.0
2024-12-22 09:52:30+00:00,268.54204643256435,142.60613112266353,29.51996321211669,0.0,2024-12-27 23:22:28.230362186+00:00,419.63476767575315,142.60613112266353,215.03215567054764,0.0
2024-12-22 10:07:30+00:00,264.34509295103413,142.61897689041564,29.414985638514377,0.0,2024-12-28 01:49:14.869712886+00:00,419.11048931545355,142.61897689041564,215.03215567054764,0.0
2024-12-22 10:22:30+00:00,277.3713709124868,142.63297197759698,29.30987198183578,0.0,2024-12-27 19:46:16.708564680+00:00,418.29710051234105,142.63297197759698,215.03215567054764,0.0
