time,longitude,radius,latitude,Vr,time_shifted,Times_Earth,Vr_pred_Earth
2025-03-20 18:07:30+00:00,327.9153444172817,30.59057733750454,2.7992290087888345,333.6369944420399,2025-03-24 18:07:30+00:00,,
2025-03-20 18:22:30+00:00,327.91713397794666,30.48698712782431,2.792277839896487,348.09767251515166,2025-03-24 18:22:30+00:00,,
2025-03-20 18:37:30+00:00,327.91994233690605,30.38326260599537,2.7852600455788004,362.49659126432505,2025-03-24 18:37:30+00:00,,
2025-03-20 18:52:30+00:00,327.9237812782481,30.279403571156298,2.7781747303249302,358.37940016759455,2025-03-24 18:52:30+00:00,,
2025-03-20 19:07:30+00:00,327.9286627992417,30.175409834196586,2.771020981978216,348.2923735942333,2025-03-24 19:07:30+00:00,,
2025-03-20 19:22:30+00:00,327.9345990671215,30.071281206239835,2.7637978736054496,353.5461062555239,2025-03-24 19:22:30+00:00,,
2025-03-20 19:37:30+00:00,327.9416024431177,29.96701750379267,2.7565044622305015,350.79168405676126,2025-03-24 19:37:30+00:00,,
2025-03-20 19:52:30+00:00,327.94968548634114,29.862618548949143,2.749139788504042,351.73350933726755,2025-03-24 19:52:30+00:00,,
2025-03-20 20:07:30+00:00,327.958860957613,29.75808416972557,2.741702876372369,344.45943238731223,2025-03-24 20:07:30+00:00,,
2025-03-20 20:22:30+00:00,327.9691418235568,29.653414200163304,2.734192732720509,357.1275508932798,2025-03-24 20:22:30+00:00,,
2025-03-20 20:37:30+00:00,327.98054126088897,29.548608480567243,2.726608347014446,350.474419390968,2025-03-24 20:37:30+00:00,,
2025-03-20 20:52:30+00:00,327.9930726338595,29.443666851809404,2.718948692220584,350.5725688647746,2025-03-24 20:52:30+00:00,,
2025-03-20 21:07:30+00:00,328.0067495710366,29.338589171842663,2.7112127209709,359.75949763989047,2025-03-24 21:07:30+00:00,,
2025-03-20 21:22:30+00:00,328.02158592030037,29.233375304803474,2.703399367535814,344.6855870895938,2025-03-24 21:22:30+00:00,,
2025-03-20 21:37:30+00:00,328.03759574592743,29.128025119728992,2.6955075477905024,347.77158359170045,2025-03-24 21:37:30+00:00,,
2025-03-20 21:52:30+00:00,328.05479334452974,29.022538493192997,2.6875361582816284,354.18576415237516,2025-03-24 21:52:30+00:00,,
2025-03-20 22:07:30+00:00,328.07319324982876,28.91691530957687,2.6794840758186167,358.66411656968734,2025-03-24 22:07:30+00:00,,
2025-03-20 22:22:30+00:00,328.09281023720996,28.811155461484617,2.671350157064139,370.2922807047279,2025-03-24 22:22:30+00:00,,
2025-03-20 22:37:30+00:00,328.1136593291856,28.70525884991883,2.6631332380935677,358.08544543936864,2025-03-24 22:37:30+00:00,,
2025-03-20 22:52:30+00:00,328.13575578896723,28.599225382307303,2.654832134509426,359.7240035251886,2025-03-24 22:52:30+00:00,,
2025-03-20 23:07:30+00:00,328.15911513244055,28.493054974234436,2.6464456406820887,352.48760905010295,2025-03-24 23:07:30+00:00,,
2025-03-20 23:22:30+00:00,328.1837531884928,28.386747560807496,2.6379725265805716,376.0932303192659,2025-03-24 23:22:30+00:00,,
2025-03-20 23:37:30+00:00,328.20968602494906,28.280303080950624,2.6294115411939054,368.8053370403331,2025-03-24 23:37:30+00:00,,
2025-03-20 23:52:30+00:00,328.2369299834512,28.17372148377,2.62076141062692,378.4907400791202,2025-03-24 23:52:30+00:00,,
2025-03-21 00:07:30+00:00,328.26550168529013,28.067002728777673,2.6120208375972367,372.6104111010506,2025-03-25 00:07:30+00:00,,
2025-03-21 00:22:30+00:00,328.29541803751687,27.96014678626243,2.603188500928955,417.9364648763199,2025-03-25 00:22:30+00:00,,
2025-03-21 00:37:30+00:00,328.32669623862995,27.85315363780759,2.594263055043119,402.4495638113642,2025-03-25 00:37:30+00:00,,
2025-03-21 00:52:30+00:00,328.35935377714895,27.746023275129065,2.585243129821321,396.3436602055355,2025-03-25 00:52:30+00:00,,
2025-03-21 01:07:30+00:00,328.393408428722,27.638755698816396,2.5761273305244545,387.46562127071394,2025-03-25 01:07:30+00:00,,
2025-03-21 01:22:30+00:00,328.42887834609155,27.531350933758628,2.566914233056268,390.5355417474377,2025-03-25 01:22:30+00:00,,
