encounter,utc_time,type,longitude_deg,radius_Rs,latitude_deg
23,2025-03-04 00:54:23,start,355.78125,230.11393497198847,0.446077179644024
23,2025-03-04 00:54:23,end,47.16700524109429,30.0,0.0
23,2025-03-10 00:54:23,start,352.96874999999994,238.21617086230316,0.446077179644024
23,2025-03-10 00:54:23,end,53.733621461519206,30.0,0.0
23,2025-03-16 00:54:23,start,355.78125,230.50771439804572,0.446077179644024
23,2025-03-16 00:54:23,end,48.17390163291253,30.0,0.0
23,2025-03-22 00:54:23,start,355.78125,230.4131915611653,0.446077179644024
23,2025-03-22 00:54:23,end,44.76459251038481,30.0,0.0
23,2025-03-28 00:54:23,start,355.78125,235.95828967057946,0.446077179644024
23,2025-03-28 00:54:23,end,37.08683569443357,30.0,0.0
