encounter,longitude_deg,psp_r_Rs,streak_r_Rs,radial_sep_Rs
3,43.59375,40.001663516058635,40.002244326688235,0.000580810629600137
4,54.84375,34.97295350403347,34.95582235533296,0.017131148700507026
5,66.09374999999999,33.67410778428928,33.67387799604629,0.00022978824299002554
7,55.57075803443865,28.5794363628621,30.0,1.4205636371378993
16,59.70229743536091,30.015398721196277,30.0,0.015398721196277165
