time,longitude,radius,latitude,Vr,Time_days,Times_Earth,Vr_pred_Earth,Lon-L1,Lat-L1,Vr_obs_Earth
2019-07-20 20:52:30,127.1647501235208,174.84729156933432,3.963370556762437,296.02747002580054,21.754814814814814,2019-07-24 20:52:30+00:00,318.67842620503745,23.810109389029986,5.180511627193555,367.2072501788695
2019-08-29 23:07:30,29.54664233437374,41.25109696801133,-2.3418741491619097,459.5780649627686,61.848564814814814,2019-09-02 23:07:30+00:00,,213.8009739176065,7.214474431570002,665.1548877759228
2019-08-29 23:22:30,29.547010698916043,41.21352787516686,-2.350513460722353,469.84610185193304,61.85898148148148,2019-09-02 23:22:30+00:00,,213.6633859568817,7.214604604643616,662.0987359885523
2019-08-29 23:37:30,29.54765093668197,41.1760473082847,-2.359152780792462,469.36993291171984,61.86939814814815,2019-09-02 23:37:30+00:00,,213.52579804505936,7.21473455448359,661.8530884808014
2019-08-29 23:52:30,29.5485631590233,41.13865568072769,-2.3677919707532373,452.3259282056519,61.879814814814814,2019-09-02 23:52:30+00:00,,213.3882101820935,7.214864281081866,652.3275972775137
2019-08-30 00:07:30,29.54974747182043,41.10135340668388,-2.3764308909348393,446.3173706411106,61.89023148148148,2019-09-03 00:07:30+00:00,,213.25062236798183,7.214993784430389,654.5798553144128
2019-08-30 00:22:30,29.551203975355005,41.064140901169466,-2.385069400612882,452.03157252212213,61.90064814814815,2019-09-03 00:22:30+00:00,,213.11303460272217,7.21512306452108,650.4858524891914
2019-08-30 00:37:30,29.55293276418089,41.027018580013376,-2.3937073580089225,450.4002394787424,61.911064814814814,2019-09-03 00:37:30+00:00,,212.97544688625428,7.215252121345858,644.8268481657464
2019-08-30 00:52:30,29.5549339272556,40.98998685985339,-2.4023446202882277,449.4271769490408,61.92148148148148,2019-09-03 00:52:30+00:00,,212.83785921859052,7.215380954896704,655.0547208310146
2019-08-30 01:07:30,29.557207547670377,40.953046158130235,-2.41098104355841,458.3070667142524,61.93189814814815,2019-09-03 01:07:30+00:00,,212.70027159972895,7.215509565165544,653.5442668998595
2019-08-30 01:22:30,29.559753702781364,40.9161968930614,-2.419616482872228,463.75224215711046,61.942314814814814,2019-09-03 01:22:30+00:00,,212.56268402962385,7.21563795214433,654.93414950844
2019-08-30 01:37:30,29.562572464017475,40.87943948365952,-2.4282507922209966,455.2314073597918,61.95273148148148,2019-09-03 01:37:30+00:00,,212.4250965082736,7.215766115824982,664.7295757479396
2019-08-30 01:52:30,29.565663896914625,40.84277434969728,-2.436883824539723,454.0378667287858,61.96314814814815,2019-09-03 01:52:30+00:00,,212.28750903566143,7.215894056199469,656.6592468929697
2019-08-30 02:07:30,29.56902806107217,40.80620191171233,-2.44551543170289,451.01538518498575,61.973564814814814,2019-09-03 02:07:30+00:00,,212.14992161175704,7.216021773259737,650.054323343138
2019-08-30 02:22:30,29.572665009987727,40.76972259099519,-2.454145464525578,452.87148900296,61.98398148148148,2019-09-03 02:22:30+00:00,,212.01233423655825,7.216149266997732,652.8992765720647
2019-08-30 02:37:30,29.57657479111115,40.7333368095756,-2.462773772763271,445.7787578584718,61.99439814814815,2019-09-03 02:37:30+00:00,,211.874746910049,7.216276537405436,650.3484643718367
2019-08-30 02:52:30,29.5807574457518,40.697044990216035,-2.4714002051113457,454.7156180129741,62.004814814814814,2019-09-03 02:52:30+00:00,,211.7371596322133,7.216403584474751,662.0515674271935
2019-08-30 03:07:30,29.585213009009703,40.66084755640444,-2.480024609203954,463.4126233494637,62.01523148148148,2019-09-03 03:07:30+00:00,,211.59957240302032,7.216530408197715,662.1565042266211
2019-08-30 03:22:30,29.58994150977515,40.62474493233626,-2.488646831616704,471.4622846028703,62.02564814814815,2019-09-03 03:22:30+00:00,,211.46198522248343,7.216657008566207,651.1108257351997
2019-08-30 03:37:30,29.594942970586683,40.588737542911986,-2.4972667178639307,474.9254941328941,62.036064814814814,2019-09-03 03:37:30+00:00,,211.3243980905574,7.2167833855722465,643.9250602856613
2019-08-30 03:52:30,29.60021740764684,40.5528258137186,-2.505884112401633,504.38415112960206,62.04648148148148,2019-09-03 03:52:30+00:00,,211.1868110072409,7.21690953920778,658.025280228953
2019-08-30 04:07:30,29.60576483076892,40.51701017103221,-2.5144988586244876,505.598450003187,62.05689814814815,2019-09-03 04:07:30+00:00,,211.04922397251815,7.217035469464792,647.4216286403265
2019-08-30 04:22:30,29.611585243257885,40.48129104178747,-2.5231107988710213,505.6854347142712,62.067314814814814,2019-09-03 04:22:30+00:00,,210.91163698637337,7.217161176335233,656.623472984074
2019-08-30 04:37:30,29.61767864194863,40.44566885358391,-2.531719774420511,499.4123502792316,62.07773148148148,2019-09-03 04:37:30+00:00,,210.7740500487764,7.217286659811063,651.6887119558238
2019-08-30 04:52:30,29.624045017019675,40.41014403467593,-2.540325625492764,503.2908416814326,62.08814814814815,2019-09-03 04:52:30+00:00,,210.63646315974057,7.217411919884315,640.9942496753849
2019-08-30 05:07:30,29.630684352126647,40.374717013934145,-2.548928191256402,505.0138718405351,62.098564814814814,2019-09-03 05:07:30+00:00,,210.49887631920672,7.217536956546898,645.3756260434056
2019-08-30 05:22:30,29.63759662412877,40.33938822087873,-2.55752730981843,488.2285174913744,62.10898148148148,2019-09-03 05:22:30+00:00,,210.3612895272032,7.217661769790834,648.4617219174816
2019-08-30 05:37:30,29.644781803220592,40.304158085630405,-2.5661228182349154,498.33350002179776,62.11939814814815,2019-09-03 05:37:30+00:00,,210.2237027837143,7.21778635960809,629.9462066406975
2019-08-30 05:52:30,29.652239852766886,40.26902703890886,-2.5747145525093953,477.544934104316,62.129814814814814,2019-09-03 05:52:30+00:00,,210.086116088681,7.217910725990654,630.7894109229668
2019-08-30 06:07:30,29.659970729315216,40.233995512033594,-2.583302347591542,506.1743270798349,62.14023148148148,2019-09-03 06:07:30+00:00,,209.948529442117,7.218034868930528,627.981108114664
2019-08-30 06:22:30,29.667974382440693,40.199063936897424,-2.591886037381954,511.0650195201261,62.15064814814815,2019-09-03 06:22:30+00:00,,209.81094284400717,7.218158788419681,622.9670533510266
2019-08-30 06:37:30,29.67625075481667,40.16423274595993,-2.600465454732787,501.8350817181061,62.161064814814814,2019-09-03 06:37:30+00:00,,209.6733562943364,7.218282484450108,615.6318732278665
2019-08-30 06:52:30,29.684799782087875,40.12950237223637,-2.6090404314485185,441.22662552115486,62.17148148148148,2019-09-03 06:52:30+00:00,,209.53576979308937,7.218405957013818,611.8530884808014
2019-08-30 07:07:30,29.693621392814823,40.09487324928153,-2.6176107982898085,453.13137034547714,62.18189814814815,2019-09-03 07:07:30+00:00,,209.39818334025097,7.21852920610279,610.2737366510322
2019-08-30 07:22:30,29.702715508432156,40.060345811181826,-2.6261763849736046,441.7844260448265,62.192314814814814,2019-09-03 07:22:30+00:00,,209.2605969357919,7.218652231709011,610.2932496922481
2019-08-30 07:37:30,29.712082043207968,40.02592049253701,-2.6347370201768725,435.4179980456333,62.20273148148148,2019-09-03 07:37:30+00:00,,209.12301057972593,7.218775033824529,606.2246601478655
2019-08-30 07:52:30,29.72172090417525,39.991597728453705,-2.643292531537545,444.9009998743425,62.21314814814815,2019-09-03 07:52:30+00:00,,208.98542427202383,7.218897612441309,605.8940827304767
2019-08-30 08:07:30,29.73163199104108,39.95737795452711,-2.651842745657998,419.0246836642542,62.223564814814814,2019-09-03 08:07:30+00:00,,208.8478380126563,7.21901996755137,608.0425047036066
2019-08-30 08:22:30,29.741815196231048,39.92326160682933,-2.660387488107697,435.1146336548363,62.23398148148148,2019-09-03 08:22:30+00:00,,208.7102518016229,7.219142099146727,605.0547208310146
2019-08-30 08:37:30,29.75227040471795,39.88924912189815,-2.6689265834250553,455.0502625014158,62.24439814814815,2019-09-03 08:37:30+00:00,,208.57266563890892,7.219264007219378,609.8905583379707
2019-08-30 08:52:30,29.762997494046644,39.85534093672276,-2.67745985512054,447.78562590459046,62.254814814814814,2019-09-03 08:52:30+00:00,,208.4350795244853,7.219385691761352,606.1070445043733
2019-08-30 09:07:30,29.77399633424239,39.82153748872233,-2.685987125681843,481.3089987801743,62.26523148148148,2019-09-03 09:07:30+00:00,,208.2974934583665,7.219507152764657,606.8308291597106
2019-08-30 09:22:30,29.78526678777971,39.78783921574933,-2.6945082165727703,507.4864970771216,62.27564814814815,2019-09-03 09:22:30+00:00,,208.15990744050876,7.219628390221315,603.4289954156399
2019-08-30 09:37:30,29.79680870950567,39.754246556058035,-2.703022948240729,507.1818455448586,62.286064814814814,2019-09-03 09:37:30+00:00,,208.0223214709268,7.219749404123335,603.3296234464849
2019-08-30 09:52:30,29.808621946574824,39.720759948305734,-2.711531140116621,500.6865080433595,62.29648148148148,2019-09-03 09:52:30+00:00,,207.88473554957713,7.219870194462778,608.2438985610939
2019-08-30 10:07:30,29.82070633848017,39.68737983152067,-2.720032610623061,485.6289880422669,62.30689814814815,2019-09-03 10:07:30+00:00,,207.74714967646003,7.219990761231625,606.8586533110741
2019-08-30 10:22:30,29.83306171686816,39.654106645105294,-2.728527177173353,475.817270421368,62.317314814814814,2019-09-03 10:22:30+00:00,,207.6095638515463,7.220111104421952,608.5846781673159
2019-08-30 10:37:30,29.845687905593454,39.62094082880822,-2.7370146561789657,481.2709012375122,62.32773148148148,2019-09-03 10:37:30+00:00,,207.4719780748512,7.220231224025752,599.5817945734474
2019-08-30 10:52:30,29.85858472060657,39.587882822719585,-2.7454948630513045,462.7930983822311,62.33814814814815,2019-09-03 10:52:30+00:00,,207.3343923463459,7.220351120035087,607.2740281421417
2019-08-30 11:07:30,29.871751969924244,39.55493306725063,-2.7539676122072794,460.6589917612164,62.348564814814814,2019-09-03 11:07:30+00:00,,207.1968066660016,7.22047079244197,613.1667256875938
