encounter,utc_time,longitude_deg,radius_Rs,latitude_deg
23,2025-03-04 00:54:23,355.78125,230.11393497198847,0.446077179644024
23,2025-03-04 00:54:23,358.59375,219.14545251341835,0.446077179644024
23,2025-03-04 00:54:23,1.40625,208.1388132832512,0.446077179644024
23,2025-03-04 00:54:23,4.21875,197.11681335131271,0.446077179644024
23,2025-03-04 00:54:23,7.03125,186.0729517107666,0.446077179644024
23,2025-03-04 00:54:23,9.84375,175.01132385184187,0.446077179644024
23,2025-03-04 00:54:23,12.65625,163.93682914076322,0.446077179644024
23,2025-03-04 00:54:23,15.468749999999998,152.85305793528502,0.446077179644024
23,2025-03-04 00:54:23,18.28125,141.74652856905053,0.446077179644024
23,2025-03-04 00:54:23,21.09375,130.45209904123908,0.446077179644024
23,2025-03-04 00:54:23,23.90625,119.30103773673424,0.446077179644024
23,2025-03-04 00:54:23,26.71875,108.16860004445704,0.446077179644024
23,2025-03-04 00:54:23,29.53125,97.06798083113769,0.446077179644024
23,2025-03-04 00:54:23,32.34375,86.01566451922707,0.446077179644024
23,2025-03-04 00:54:23,35.15625,75.03223921628283,0.446077179644024
23,2025-03-04 00:54:23,37.96875000000001,64.14380029353346,0.446077179644024
23,2025-03-04 00:54:23,40.78125,53.38501136506986,0.446077179644024
23,2025-03-04 00:54:23,43.59375,42.8070782109828,0.446077179644024
23,2025-03-04 00:54:23,46.40625,32.505369417713375,0.446077179644024
23,2025-03-04 00:54:23,47.16700524109429,30.0,2.7992290087888345
23,2025-03-10 00:54:23,352.96874999999994,238.21617086230316,0.446077179644024
23,2025-03-10 00:54:23,355.78125,228.41469940100743,0.446077179644024
23,2025-03-10 00:54:23,358.59375,218.61293862858753,0.446077179644024
23,2025-03-10 00:54:23,1.40625,208.80900973370365,0.446077179644024
23,2025-03-10 00:54:23,4.21875,199.00218882377717,0.446077179644024
23,2025-03-10 00:54:23,7.03125,189.19279007502067,0.446077179644024
23,2025-03-10 00:54:23,9.84375,179.38175248388126,0.446077179644024
23,2025-03-10 00:54:23,12.65625,169.57066135062038,0.446077179644024
23,2025-03-10 00:54:23,15.468749999999998,159.7618018755216,0.446077179644024
23,2025-03-10 00:54:23,18.28125,149.95796715483021,0.446077179644024
23,2025-03-10 00:54:23,21.09375,140.1629424154301,0.446077179644024
23,2025-03-10 00:54:23,23.90625,130.38168133995464,0.446077179644024
23,2025-03-10 00:54:23,26.71875,120.62026780443689,0.446077179644024
23,2025-03-10 00:54:23,29.53125,110.88608505013855,0.446077179644024
23,2025-03-10 00:54:23,32.34375,101.18832622905947,0.446077179644024
23,2025-03-10 00:54:23,35.15625,91.53818285169854,0.446077179644024
