t_arrival,PSP_time,delta_t_days,PSP_lon,Vr_pred_kms,Vr_true_kms,delta_v_kms
2020-09-16 18:10:09.974916+00:00,2020-09-24 07:52:30+00:00,-7.571065105138889,141.24577373396096,320.44276808711527,634.3820898077993,313.939321720684
2020-09-17 05:09:08.957967+00:00,2020-09-24 07:52:30+00:00,-7.113437986493056,32.84780951709763,320.44276808711527,634.3820898077993,313.939321720684
2020-09-17 16:08:07.941018+00:00,2020-09-24 07:52:30+00:00,-6.655810867847222,141.24577373395732,320.44276808711527,634.3820898077993,313.939321720684
2020-09-18 03:07:06.924069+00:00,2020-09-24 07:52:30+00:00,-6.198183749201389,67.65391686651128,320.44276808711527,634.3820898077993,313.939321720684
2020-09-18 14:06:05.907120+00:00,2020-09-29 07:07:30+00:00,-10.709306630555556,284.4498453002343,338.1023097572981,634.3820898077993,296.2797800505012
2020-09-19 01:05:04.890170+00:00,2020-09-24 07:52:30+00:00,-5.282929511921296,32.84780951709399,320.44276808711527,634.3820898077993,313.939321720684
2020-09-19 12:04:03.873221+00:00,2020-09-30 11:07:30+00:00,-10.96071905994213,358.041702167684,304.73046894399334,634.3820898077993,329.65162086380593
2020-09-19 23:03:02.856272+00:00,2020-09-30 11:07:30+00:00,-10.503091941296296,358.041702167684,304.73046894399334,634.3820898077993,329.65162086380593
2020-09-20 10:02:01.839323+00:00,2020-09-30 11:07:30+00:00,-10.045464822650462,358.041702167684,304.73046894399334,634.3820898077993,329.65162086380593
2020-09-20 21:01:00.822374+00:00,2020-09-30 11:07:30+00:00,-9.58783770400463,358.041702167684,304.73046894399334,634.3820898077993,329.65162086380593
2020-09-21 07:59:59.805425+00:00,2020-09-26 08:37:30+00:00,-5.026043918692129,214.837630601407,289.8800205270782,634.3820898077993,344.50206928072106
2020-09-21 18:58:58.788476+00:00,2020-09-30 11:07:30+00:00,-8.672583466712963,323.2355948182667,304.73046894399334,634.3820898077993,329.65162086380593
2020-09-22 05:57:57.771526+00:00,2020-09-30 11:07:30+00:00,-8.214956348078704,323.2355948182667,304.73046894399334,634.3820898077993,329.65162086380593
2020-09-22 16:56:56.754577+00:00,2020-09-26 08:37:30+00:00,-3.653162562766204,214.837630601407,289.8800205270782,634.3820898077993,344.50206928072106
2020-09-23 03:55:55.737628+00:00,2020-09-24 07:52:30+00:00,-1.1642854441203703,71.63355903513002,320.44276808711527,634.3820898077993,313.939321720684
2020-09-23 14:54:54.720679+00:00,2020-09-24 07:52:30+00:00,-0.7066583254745371,71.63355903513002,320.44276808711527,634.3820898077993,313.939321720684
2020-09-24 01:53:53.703730+00:00,2020-09-29 22:52:30+00:00,-5.874031206828704,288.42948746885304,282.5323860180404,634.3820898077993,351.84970378975885
2020-09-24 12:52:52.686781+00:00,2020-09-27 17:37:30+00:00,-3.1976540881828703,253.62338011943575,317.4473668825474,634.3820898077993,316.9347229252519
2020-09-24 23:51:51.669832+00:00,2020-09-24 07:52:30+00:00,0.6662230304629629,145.22541590257606,320.44276808711527,634.3820898077993,313.939321720684
