t_arrival,parker_v,PSP_time,delta_t_days,PSP_lon,Vr_pred_kms,Vr_true_kms,delta_v_kms
2024-12-18 01:49:50.465764+00:00,206.39457461527968,2024-12-25 02:07:30+00:00,-7.012263127731482,284.44984530023794,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-18 12:48:49.448815+00:00,206.39457461527968,2024-12-25 02:07:30+00:00,-6.554636009085648,284.44984530023794,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-18 23:47:48.431865+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,-3.3053422237847223,141.24577373396096,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-19 10:46:47.414916+00:00,286.3977178793134,2024-12-26 16:37:30+00:00,-7.243548438472223,358.041702167684,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-19 21:45:46.397967+00:00,273.2515357310728,2024-12-24 09:22:30+00:00,-4.4838379864930555,214.837630601407,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-20 08:44:45.381018+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,-1.9324608678472224,67.65391686651128,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-20 19:43:44.364069+00:00,206.39457461527968,2024-12-25 02:07:30+00:00,-4.266500415868055,284.4498453002343,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-21 06:42:43.347120+00:00,206.39457461527968,2024-12-25 02:07:30+00:00,-3.808873297222222,284.4498453002343,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-21 17:41:42.330170+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,-0.5595795119212963,67.65391686651128,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-22 04:40:41.313221+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,-0.10195239327546296,67.65391686651128,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-22 15:39:40.296272+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,0.35567472537037037,102.46002421592857,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-23 02:38:39.279323+00:00,230.26338395708055,2024-12-24 08:37:30+00:00,-1.2491981559837964,210.85798843278826,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-23 13:37:38.262374+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,1.270928962662037,102.46002421592857,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-24 00:36:37.245425+00:00,230.26338395708055,2024-12-24 08:37:30+00:00,-0.33394391869212964,210.85798843278826,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-24 11:35:36.228476+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,2.1861831999537036,67.65391686651128,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-24 22:34:35.211526+00:00,206.39457461527968,2024-12-25 02:07:30+00:00,-0.1478563480787037,284.4498453002343,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-25 09:33:34.194577+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,3.101437437233796,32.84780951709763,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-25 20:32:33.177628+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,3.559064555879629,141.24577373396096,184.7303645610902,375.95534897724224,28.218273727265228
2024-12-26 07:31:32.160679+00:00,273.2515357310728,2024-12-24 09:22:30+00:00,1.9229416745254628,214.837630601407,184.7303645610902,374.9659966029097,25.88959605151439
2024-12-26 18:30:31.143730+00:00,286.3977178793134,2024-12-26 16:37:30+00:00,0.07848545983796296,323.2355948182667,184.7303645610902,348.13869972707414,17.22023182551345
2024-12-27 05:29:30.126781+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,4.93194591181713,71.63355903512638,184.7303645610902,327.0149636366465,15.355654059513768
2024-12-27 16:28:29.109832+00:00,184.7303645610902,2024-12-22 22:52:30+00:00,4.733323030462963,145.22541590257606,184.7303645610902,309.4570272330924,24.37714082478186
2024-12-28 03:27:28.092882+00:00,184.7303645610902,2024-12-22 22:52:30+00:00,5.1909501490972225,145.22541590257606,184.7303645610902,300.2073486522756,7.305172215837899
2024-12-28 14:26:27.075933+00:00,273.2515357310728,2024-12-24 09:22:30+00:00,4.211077267743056,214.837630601407,184.7303645610902,328.7224556935124,-6.797024419166291
2024-12-29 01:25:26.058984+00:00,286.3977178793134,2024-12-26 16:37:30+00:00,2.3666210530555554,323.2355948182667,184.7303645610902,345.3620480372062,-7.799443696638605
2024-12-29 12:24:25.042035+00:00,218.40664673680945,2024-12-25 03:52:30+00:00,4.355498171701389,288.42948746885304,184.7303645610902,322.85457403675883,19.591168868082548
2024-12-29 23:23:24.025086+00:00,289.2060243775468,2024-12-22 07:07:30+00:00,7.677708623680555,36.82745168571273,184.7303645610902,301.04014066823026,72.20693779587651
