encounter,streakline,start_longitude_deg,end_longitude_deg
1,1,282.4609274580181,338.575741213535
1,2,279.2390600653739,337.3940851618723
1,3,270.392263799047,333.9088831559254
2,1,291.90592047892164,358.9776562779632
2,2,285.8736714564345,357.03619981651053
3,1,50.431404571665496,129.67794700575422
3,2,23.401281539908666,98.44588833480596
4,1,27.694860933130656,107.97785454875246
4,2,24.482217599712214,104.83774905596695
4,3,18.457057437116134,100.89095641454021
4,4,6.806878819999895,66.44803614889354
4,5,0.7816802011502091,64.58130147662202
4,6,354.75646011851194,61.32251151346298
6,1,236.6759987834746,291.73662221640495
6,2,230.63484496934893,284.07234496934893
6,3,224.59378700294633,280.6350756219615
6,4,218.55282213205726,265.0009591396127
6,5,212.51194758549343,262.6033954280607
6,6,206.47116062282169,261.0707745763385
6,7,200.43045858280652,256.9480981763251
6,8,194.38983892997658,252.0203174012291
6,9,188.34929929390512,247.07341545500688
6,10,182.30883750176804,240.84327026178326
6,11,173.45595160193966,236.2809131007164
6,12,167.4156398785783,233.40497792367873
6,13,161.375400857685,229.28639951086754
6,14,155.3352333047934,220.16160461739608
6,15,149.29513621797054,218.24892349807976
6,16,143.2551088147634,211.41528299495195
6,17,137.2151505170205,210.6543206956626
6,18,131.17526093397072,208.66849146679942
6,19,125.13543984505014,200.37894124533483
7,1,54.65059365553418,134.21592940619803
7,2,48.625063800280884,129.1503870220079
7,3,42.599548547098834,119.91174970556996
7,4,36.57404647081955,99.88060701439184
7,5,30.548556247896897,96.74932866144607
7,6,24.52307664932215,90.00215598799846
7,7,18.49760653505922,86.26326787012903
7,8,12.472144849117342,79.54127890015255
7,9,3.6341906161041493,77.33796994281124
7,10,357.6087429380506,75.66417849679944
7,11,354.39580099424444,74.73875046551434
8,1,65.07874286441353,144.516535414661
8,2,56.21643803295183,132.58637363491619
8,3,50.166502953405484,130.16898811252682
8,4,49.741437654351046,129.12291570518835
8,5,43.69124211725665,125.41605828316564
8,6,37.64091628470146,122.83427110049783
8,7,25.965460066436037,100.46800762140082
8,8,19.914873345516583,91.77823036879535
8,9,13.864155983884928,90.21156794880248
8,10,7.813307828007908,85.62414252431684
8,11,1.7623287136685235,79.80201446216257
8,12,355.7112184725765,74.85655905563547
9,1,58.90582199283949,128.4394908077454
9,2,52.858608834969345,125.34058638510407
9,3,49.6240136867429,111.90344099872954
9,4,43.577037941366484,104.82528709153233
