encounter,streakline,start_longitude_deg,end_longitude_deg,start_radius_Rs,end_radius_Rs
1,1,282.4609274580181,338.575741213535,239.93784184649203,30.0
1,2,279.2390600653739,337.3940851618723,235.96414665635618,30.0
1,3,270.392263799047,333.9088831559254,236.72183991711412,30.0
2,1,291.90592047892164,358.9776562779632,234.87476402193784,30.0
2,2,285.8736714564345,357.03619981651053,234.42940115379426,30.0
3,1,50.431404571665496,129.67794700575422,229.61602708879076,30.0
3,2,23.401281539908666,98.44588833480596,238.68356648855706,30.0
4,1,27.694860933130656,107.97785454875246,222.19038513183511,30.0
4,2,24.482217599712214,104.83774905596695,215.2871118266138,30.0
4,3,18.457057437116134,100.89095641454021,215.30230417377487,30.0
4,4,6.806878819999895,66.44803614889354,235.01312878720742,30.0
4,5,0.7816802011502091,64.58130147662202,234.26489363026076,30.0
4,6,354.75646011851194,61.32251151346298,234.18631364338268,30.0
6,1,236.6759987834746,291.73662221640495,232.71440868071124,30.0
6,2,230.63484496934893,284.07234496934893,232.2943719555183,30.0
6,3,224.59378700294633,280.6350756219615,232.38455122748226,30.0
6,4,218.55282213205726,265.0009591396127,235.26694822803287,30.0
6,5,212.51194758549343,262.6033954280607,233.14370087209593,30.0
6,6,206.47116062282169,261.0707745763385,231.27454219690387,30.0
6,7,200.43045858280652,256.9480981763251,231.49221458742966,30.0
6,8,194.38983892997658,252.0203174012291,231.29220777956044,30.0
6,9,188.34929929390512,247.07341545500688,230.8142149468282,30.0
6,10,182.30883750176804,240.84327026178326,230.74909736297204,30.0
6,11,173.45595160193966,236.2809131007164,239.28093053577743,30.0
6,12,167.4156398785783,233.40497792367873,238.7895101946708,30.0
6,13,161.375400857685,229.28639951086754,239.1834517937035,30.0
6,14,155.3352333047934,220.16160461739608,235.7660062851237,30.0
6,15,149.29513621797054,218.24892349807976,238.70693619812806,30.0
6,16,143.2551088147634,211.41528299495195,235.7299289799105,30.0
6,17,137.2151505170205,210.6543206956626,233.83432387585333,30.0
6,18,131.17526093397072,208.66849146679942,235.04140233535483,30.0
6,19,125.13543984505014,200.37894124533483,235.16493412137052,30.0
7,1,54.65059365553418,134.21592940619803,229.6772991045931,30.0
7,2,48.625063800280884,129.1503870220079,229.75138504965082,30.0
7,3,42.599548547098834,119.91174970556996,232.11969716776872,30.0
7,4,36.57404647081955,99.88060701439184,234.20957171202915,30.0
7,5,30.548556247896897,96.74932866144607,234.28566559393127,30.0
7,6,24.52307664932215,90.00215598799846,233.64591968313505,30.0
7,7,18.49760653505922,86.26326787012903,233.8354496234069,30.0
7,8,12.472144849117342,79.54127890015255,232.90966677074738,30.0
7,9,3.6341906161041493,77.33796994281124,238.85617923883322,30.0
7,10,357.6087429380506,75.66417849679944,235.64408022591584,30.0
7,11,354.39580099424444,74.73875046551434,228.06901127411857,30.0
8,1,65.07874286441353,144.516535414661,227.76766351095097,30.0
8,2,56.21643803295183,132.58637363491619,235.89495803936876,30.0
8,3,50.166502953405484,130.16898811252682,233.12340083398433,30.0
8,4,49.741437654351046,129.12291570518835,216.77892446210672,30.0
8,5,43.69124211725665,125.41605828316564,210.74619382584046,30.0
8,6,37.64091628470146,122.83427110049783,220.58490327976205,30.0
8,7,25.965460066436037,100.46800762140082,236.94556990695125,30.0
8,8,19.914873345516583,91.77823036879535,237.32808469994163,30.0
8,9,13.864155983884928,90.21156794880248,235.75401158480184,30.0
8,10,7.813307828007908,85.62414252431684,236.56805308309123,30.0
8,11,1.7623287136685235,79.80201446216257,236.2439290425614,30.0
8,12,355.7112184725765,74.85655905563547,236.5824395150623,30.0
9,1,58.90582199283949,128.4394908077454,238.49135319959188,30.0
9,2,52.858608834969345,125.34058638510407,238.2629149677231,30.0
9,3,49.6240136867429,111.90344099872954,231.21903601758285,30.0
9,4,43.577037941366484,104.82528709153233,231.83589128819793,30.0
9,5,37.530182867179064,98.18751703351506,231.57817030440216,30.0
9,6,28.670949602673318,95.05295552034573,239.78911192744937,30.0
9,7,22.62433915307946,91.15702136777078,239.75321630058377,30.0
9,8,16.577852390363148,86.32773204432517,235.08850858273073,30.0
9,9,10.531490055147287,85.85784129210883,234.13229064103996,30.0
9,10,4.485252760216895,84.55956775202178,234.84306276235625,30.0
9,11,1.2516409942433029,80.55752899329703,228.6413828750295,30.0
10,1,321.7681794602272,356.783051959336,238.4547044179837,30.0
10,2,315.73582445191846,352.3812833726194,238.33455744785377,30.0
10,3,309.70352695575593,346.3528543950105,236.80394967810264,30.0
10,4,303.6712882925799,345.0335706113044,233.07720904167823,30.0
10,5,297.6391097464938,342.9714045675288,232.4327171082707,30.0
10,6,291.60699256041016,339.87571566507916,229.08103623422133,30.0
10,7,282.76243793198466,339.0874394608417,234.8192196074795,30.0
10,8,276.73044700892615,337.8293747758307,234.8743628191218,30.0
10,9,32.69059913166893,113.5298643255896,237.12604649676672,30.0
10,10,29.473443721422484,109.69431495912303,229.00430001489266,30.0
10,11,29.068830187299,108.41121506325331,215.0568210618548,30.0
10,12,23.039259286812694,106.37036742496565,214.87923978288524,30.0
10,13,14.19723185451437,56.354054448681254,233.04908588436075,30.0
10,14,8.167748794021747,45.47971666629824,235.55833026355234,30.0
10,15,2.1383110698494647,42.79023938757184,233.0229800337904,30.0
10,16,356.1089197018926,41.10887125369783,230.8034334148647,30.0
11,1,116.26255950256666,178.4429929986605,238.4214062427839,30.0
11,2,113.04763171804512,160.9961555021324,230.63995577661092,30.0
11,3,107.02013613333719,157.21655075697439,231.31208843279154,30.0
11,4,100.99256999440274,149.21974055720028,230.17007348449263,30.0
11,5,94.96493037109644,143.2535312952665,232.05323106755122,30.0
11,6,88.93721418015821,132.01363033101154,234.27108804531986,30.0
11,7,82.90941821190091,125.39571192222323,233.63759631802893,30.0
11,8,76.88153916155449,123.365758378503,231.2430822718468,30.0
11,9,70.85357366133212,121.4785736613321,229.62748032018663,30.0
11,10,62.013018314362796,119.55930562908925,239.72934931186063,30.0
11,11,58.79736972792949,113.99341894098337,229.4631769216507,30.0
11,12,52.76912454503071,101.9640382146334,230.50386932613796,30.0
11,13,46.74077947333484,96.9361704008495,231.41622115704735,30.0
11,14,40.71233130947297,88.38038255735036,231.73160379867394,30.0
11,15,34.683776960605314,84.65279844505288,230.1970037855291,30.0
11,16,25.842613459576853,82.5021769643523,239.0485801641632,30.0
11,17,19.81383797633464,81.0573250226396,236.7881582304113,30.0
11,18,13.784947824649237,79.50001650913369,235.31175229732065,30.0
11,19,7.755940465249637,76.86543284186487,235.54543412002178,30.0
11,20,1.7268135048283284,69.43471993050682,235.42227664818952,30.0
11,21,355.6975646941036,51.56780373327838,239.3038012844118,30.0
12,1,194.11499106365306,264.5172229742493,239.29092242663398,30.0
12,2,188.0579085048688,261.62778625991604,237.96270479420724,30.0
12,3,182.00076851118774,259.70393329869955,236.43786229299673,30.0
12,4,178.75607327556122,256.39540141420883,231.96767730268905,30.0
12,5,172.69882519704402,229.1947588558611,233.05252695405193,30.0
12,6,166.6415268911179,227.2025635992767,233.73347929204854,30.0
12,7,160.5841811942804,206.90079300000062,238.33187242331778,30.0
12,8,154.52679116334605,202.17339375360112,236.84012271587702,30.0
12,9,148.46936006499465,199.58408192959004,235.81087919627205,30.0
12,10,145.2243913572513,185.78727685787214,225.8239438771254,30.0
12,11,139.16688866119574,177.78669879484505,226.26969723399702,30.0
12,12,130.29685572396033,173.24783791808852,239.2866055988328,30.0
12,13,124.23929637463033,170.53121760706262,237.94556074759544,30.0
12,14,118.18171447394815,166.83978708201215,236.81225185966923,30.0
12,15,112.1241138632293,161.76408143968993,236.93702392149245,30.0
12,16,106.06649831214372,153.6534177064961,237.56644164027892,30.0
12,17,100.00887147063781,150.63387147063784,234.85439963407472,30.0
12,18,93.95123682689763,149.4993947188256,234.00225962849137,30.0
12,19,87.89359767333076,146.7545911996294,233.5518466802296,30.0
12,20,81.83595708100722,137.9381738002422,234.7494815921117,30.0
12,21,75.77831788529289,126.12667392138256,236.03178345986356,30.0
12,22,69.72068267873152,123.77527999634442,234.38888366542758,30.0
12,23,63.66305381300066,122.5367163265617,233.0188348884505,30.0
12,24,57.60543340699547,120.94494850030162,231.66674074090966,30.0
13,1,270.29202982966274,333.43562962491626,239.89242003909325,30.0
13,2,264.2452468200338,331.94577000193544,238.47614667786678,30.0
13,3,258.19858453993083,329.9011678709168,237.5289860273927,30.0
13,4,252.15204172489132,328.75779774751146,234.66844106503666,30.0
13,5,246.10561703402595,328.08294934706385,234.07248276914882,30.0
13,6,245.6843090543764,326.367041468648,220.36463782293703,30.0
13,7,239.6381163052913,325.15926846919837,220.58384071416506,30.0
13,8,230.77953724611928,289.8420372461194,231.47818101331555,30.0
13,9,224.7335702831524,287.10895296181764,231.61383644661072,30.0
13,10,218.68771377879602,276.8107707963693,237.23847688998296,30.0
13,11,215.45446606189137,246.56194921480682,227.43350383651764,30.0
13,12,209.40882543899045,240.81873761268557,227.23889783431514,30.0
13,13,203.36329020610924,238.934218655286,225.17934392470434,30.0
13,14,194.50535866317546,237.15119313014802,238.46567506789142,30.0
13,15,188.46002912752817,233.60405500431966,237.363322150069,30.0
13,16,182.41479994921053,225.32211892485643,238.9608664975063,30.0
13,17,176.369669526625,218.7704477179411,238.83119793075468,30.0
13,18,170.32463632283282,215.68784750684478,237.00306573447443,30.0
13,19,164.279698882331,211.1508408051681,236.21284814116072,30.0
13,20,158.23485584714012,209.06699061977227,232.78866249071754,30.0
13,21,149.37760597478632,208.38107314805904,237.26067733481722,30.0
13,22,143.33294815439666,207.72062246416309,236.08652517458498,30.0
13,23,137.28838142343744,206.93518783606658,235.84722966392886,30.0
13,24,131.24390498386924,205.3800977387304,238.44001716195214,30.0
13,25,125.19951821734202,195.65334188453457,237.6782485127565,30.0
14,1,295.14291512911257,354.2579263508995,238.3274024386388,30.0
14,2,291.92523399339973,332.4751171872949,234.23915537605959,30.0
14,3,285.8951149848343,329.0078037037849,232.31052772218416,30.0
14,4,279.8650594051013,324.48795387168076,234.12968830583256,30.0
14,5,273.8350684942794,321.18650058199773,230.41893918835814,30.0
14,6,264.99264342696165,318.7070447676988,239.0473009761573,30.0
14,7,258.9627853096338,316.7235380408169,236.48795119321062,30.0
