streak_index,lon_deg,t_arr,parker_time,delta_t_days,true_v_kms,pred_v_kms,delta_v_kms
15,284.44984530023794,2024-12-18 01:49:50.465764+00:00,2024-12-25 02:07:30+00:00,-7.012263127731482,428.1643439594119,206.39457461527968,221.76976934413221
16,284.44984530023794,2024-12-18 12:48:49.448815+00:00,2024-12-25 02:07:30+00:00,-6.554636009085648,428.1643439594119,206.39457461527968,221.76976934413221
17,141.24577373396096,2024-12-18 23:47:48.431865+00:00,2024-12-22 07:07:30+00:00,-3.3053422237847223,428.1643439594119,289.2060243775468,138.9583195818651
18,358.041702167684,2024-12-19 10:46:47.414916+00:00,2024-12-26 16:37:30+00:00,-7.243548438472223,428.1643439594119,286.3977178793134,141.7666260800985
19,214.837630601407,2024-12-19 21:45:46.397967+00:00,2024-12-24 09:22:30+00:00,-4.4838379864930555,428.1643439594119,273.2515357310728,154.9128082283391
20,67.65391686651128,2024-12-20 08:44:45.381018+00:00,2024-12-22 07:07:30+00:00,-1.9324608678472224,428.1643439594119,289.2060243775468,138.9583195818651
21,284.4498453002343,2024-12-20 19:43:44.364069+00:00,2024-12-25 02:07:30+00:00,-4.266500415868055,428.1643439594119,206.39457461527968,221.76976934413221
22,284.4498453002343,2024-12-21 06:42:43.347120+00:00,2024-12-25 02:07:30+00:00,-3.808873297222222,428.1643439594119,206.39457461527968,221.76976934413221
23,67.65391686651128,2024-12-21 17:41:42.330170+00:00,2024-12-22 07:07:30+00:00,-0.5595795119212963,428.1643439594119,289.2060243775468,138.9583195818651
24,67.65391686651128,2024-12-22 04:40:41.313221+00:00,2024-12-22 07:07:30+00:00,-0.10195239327546296,428.1643439594119,289.2060243775468,138.9583195818651
25,102.46002421592857,2024-12-22 15:39:40.296272+00:00,2024-12-22 07:07:30+00:00,0.35567472537037037,428.1643439594119,289.2060243775468,138.9583195818651
26,210.85798843278826,2024-12-23 02:38:39.279323+00:00,2024-12-24 08:37:30+00:00,-1.2491981559837964,428.1643439594119,230.26338395708055,197.90096000233135
27,102.46002421592857,2024-12-23 13:37:38.262374+00:00,2024-12-22 07:07:30+00:00,1.270928962662037,428.1643439594119,289.2060243775468,138.9583195818651
28,210.85798843278826,2024-12-24 00:36:37.245425+00:00,2024-12-24 08:37:30+00:00,-0.33394391869212964,428.1643439594119,230.26338395708055,197.90096000233135
29,67.65391686651128,2024-12-24 11:35:36.228476+00:00,2024-12-22 07:07:30+00:00,2.1861831999537036,428.1643439594119,289.2060243775468,138.9583195818651
30,284.4498453002343,2024-12-24 22:34:35.211526+00:00,2024-12-25 02:07:30+00:00,-0.1478563480787037,428.1643439594119,206.39457461527968,221.76976934413221
31,32.84780951709763,2024-12-25 09:33:34.194577+00:00,2024-12-22 07:07:30+00:00,3.101437437233796,428.1643439594119,289.2060243775468,138.9583195818651
32,141.24577373396096,2024-12-25 20:32:33.177628+00:00,2024-12-22 07:07:30+00:00,3.559064555879629,428.1643439594119,289.2060243775468,138.9583195818651
33,214.837630601407,2024-12-26 07:31:32.160679+00:00,2024-12-24 09:22:30+00:00,1.9229416745254628,428.1643439594119,273.2515357310728,154.9128082283391
34,323.2355948182667,2024-12-26 18:30:31.143730+00:00,2024-12-26 16:37:30+00:00,0.07848545983796296,428.1643439594119,286.3977178793134,141.7666260800985
35,71.63355903512638,2024-12-27 05:29:30.126781+00:00,2024-12-22 07:07:30+00:00,4.93194591181713,428.1643439594119,289.2060243775468,138.9583195818651
36,145.22541590257606,2024-12-27 16:28:29.109832+00:00,2024-12-22 22:52:30+00:00,4.733323030462963,421.8662198931583,184.7303645610902,237.1358553320681
37,145.22541590257606,2024-12-28 03:27:28.092882+00:00,2024-12-22 22:52:30+00:00,5.1909501490972225,416.9980612726487,184.7303645610902,232.26769671155853
38,214.837630601407,2024-12-28 14:26:27.075933+00:00,2024-12-24 09:22:30+00:00,4.211077267743056,411.48449241407064,273.2515357310728,138.23295668299784
39,323.2355948182667,2024-12-29 01:25:26.058984+00:00,2024-12-26 16:37:30+00:00,2.3666210530555554,408.0561164144349,286.3977178793134,121.65839853512148
40,288.42948746885304,2024-12-29 12:24:25.042035+00:00,2024-12-25 03:52:30+00:00,4.355498171701389,403.0202525469276,218.40664673680945,184.61360581011817
41,36.82745168571273,2024-12-29 23:23:24.025086+00:00,2024-12-22 07:07:30+00:00,7.677708623680555,400.341648721636,289.2060243775468,111.1356243440892
42,2.021344336295442,2024-12-30 10:22:23.008137+00:00,2024-12-22 07:07:30+00:00,8.135335742326388,622.4274758750953,289.2060243775468,333.2214514975485
43,273.0162548784501,2024-12-30 21:21:21.991187+00:00,2024-12-24 22:07:30+00:00,5.9679628609606485,290.10152443695443,258.40538381089107,31.696140626063368
44,273.0162548784501,2024-12-31 08:20:20.974238+00:00,2024-12-24 22:07:30+00:00,6.425589979606482,694.1150993503227,258.40538381089107,435.7097155394316
45,110.41930855315877,2024-12-31 19:19:19.957289+00:00,2024-12-22 07:07:30+00:00,9.508217098252315,403.98974466014937,289.2060243775468,114.78372028260259
46,145.22541590257606,2025-01-01 06:18:18.940340+00:00,2024-12-22 22:52:30+00:00,9.309594216898148,289.24973908419787,184.7303645610902,104.51937452310767
