time,longitude,radius,latitude,Vr,Time_days,Times_Earth,Vr_pred_Earth,Lon-L1,Lat-L1,Vr_obs_Earth,SpiralOrigin_Lon_deg,SpiralOrigin_Rs,SpiralOrigin_Lat_deg
2018-11-03 08:52:30+00:00,319.17910160063815,41.23311510202342,-2.3471471554282197,294.2032512865796,7.732511574074074,2018-11-07 08:52:30+00:00,396.3691477895607,208.32018617753337,3.739554012600576,415.30884808013354,314.81874505233725,30.0,-2.3471471554282197
2018-11-03 09:07:30+00:00,319.17960222413825,41.19559219168372,-2.355779557932179,281.8932224439106,7.742928240740741,2018-11-07 09:07:30+00:00,396.3691477895607,208.182848590687,3.7384214843278993,410.98631647984735,314.64403405874447,30.0,-2.355779557932179
2018-11-03 09:22:30+00:00,319.18037475021947,41.15815801130977,-2.3644118804886625,306.93391647143,7.753344907407407,2018-11-07 09:22:30+00:00,395.11250801156234,208.04551103119255,3.737288827839976,411.5549725733365,315.0287615107316,30.0,-2.3644118804886625
2018-11-03 09:37:30+00:00,319.18141928739493,41.12081297463537,-2.373043983969952,323.1685670808279,7.763761574074074,2018-11-07 09:37:30+00:00,395.11250801156234,207.908173499058,3.736156043174864,413.1385642737896,315.25156283959467,30.0,-2.373043983969952
2018-11-03 09:52:30+00:00,319.18273593869776,41.08355749621434,-2.381675728198125,314.3650500811518,7.774178240740741,2018-11-07 09:52:30+00:00,393.8654536807133,207.77083599424765,3.7350231303706103,408.1991811749742,315.15636128233115,30.0,-2.381675728198125
2018-11-03 10:07:30+00:00,319.1843248013894,41.04639199143207,-2.3903069719393257,319.89537577378223,7.784594907407407,2018-11-07 10:07:30+00:00,392.62793833442583,207.63349851672567,3.7338900894652425,408.7765323157644,315.2408256622341,30.0,-2.3903069719393257
2018-11-03 10:22:30+00:00,319.1861859671862,41.009316876477186,-2.3989375729071085,320.36958939121143,7.795011574074074,2018-11-07 10:22:30+00:00,392.62793833442583,207.4961610664857,3.7327569204968047,409.2089991255267,315.2617400406685,30.0,-2.3989375729071085
2018-11-03 10:37:30+00:00,319.188319521992,40.97233256834144,-2.40756738775911,311.20046104878844,7.805428240740741,2018-11-07 10:37:30+00:00,391.39991574037145,207.35882364350635,3.731623623503375,407.01548034603127,315.161816838993,30.0,-2.40756738775911
2018-11-03 10:52:30+00:00,319.1907255459667,40.93543948481209,-2.4161962720970123,277.16093078628313,7.815844907407407,2018-11-07 10:52:30+00:00,390.1813399442443,207.2214862477667,3.730490198522973,405.3183877891725,314.6849091343843,30.0,-2.4161962720970123
2018-11-03 11:07:30+00:00,319.19340411342046,40.89863804446191,-2.4248240804647576,268.6989765907963,7.826261574074074,2018-11-07 11:07:30+00:00,390.1813399442443,207.08414887923095,3.72935664559364,402.6711185308849,314.56133021672036,30.0,-2.4248240804647576
