time,longitude,radius,latitude,Vr,Time_days,Times_Earth,Vr_pred_Earth,Lon-L1,Lat-L1,Vr_obs_Earth,SpiralOrigin_Lon_deg,SpiralOrigin_Rs,SpiralOrigin_Lat_deg,Encounter
2024-12-24 12:52:30+00:00,232.84406181176328,9.887858981387732,-3.739025521626153,313.82713879858244,14.324583333333331,2024-12-28 12:52:30+00:00,320.85749511394556,122.29143822733622,-2.6161578441884097,297.74624373956595,240.1628144709574,30.0,-3.739025521626153,22
2024-12-24 13:07:30+00:00,234.12417080929345,9.900579428673591,-3.76181083531047,341.54302870375363,14.335,2024-12-28 13:07:30+00:00,322.7994358272128,122.15423964826292,-2.617408729207385,306.12131329994435,240.84476039262387,30.0,-3.76181083531047,22
2024-12-24 13:22:30+00:00,235.40027744097628,9.916150305566486,-3.782211538490417,323.0084138753059,14.345416666666669,2024-12-28 13:22:30+00:00,322.7994358272128,122.0170411009302,-2.618659527577166,307.5125208681135,242.50099746983244,30.0,-3.782211538490417,22
2024-12-24 13:37:30+00:00,236.67157845879203,9.93455311450138,-3.800225413431538,311.69650567037013,14.355833333333331,2024-12-28 13:37:30+00:00,324.76986956475946,121.879842585291,-2.6199102392526306,307.0116861435726,244.0232511793507,30.0,-3.800225413431538,22
2024-12-24 13:52:30+00:00,237.93728857254484,9.955766161917015,-3.815857222335329,320.3591746762403,14.36625,2024-12-28 13:52:30+00:00,324.76986956475946,121.74264410136098,-2.621160864189151,312.02003338898163,245.08260648801357,30.0,-3.815857222335329,22
2024-12-24 14:07:30+00:00,239.1966431118049,9.979764667833448,-3.829118548186182,344.3457349550839,14.376666666666669,2024-12-28 14:07:30+00:00,326.7505209083595,121.60544564913248,-2.622411402341101,318.19699499165273,245.83627087194466,30.0,-3.829118548186182,22
2024-12-24 14:22:30+00:00,240.4489005675622,10.006520888156624,-3.84002758521675,312.2658606163021,14.387083333333331,2024-12-28 14:22:30+00:00,328.7224556935124,121.46824722852944,-2.623661853663353,321.9254312743461,247.76084915459737,30.0,-3.84002758521675,22
2024-12-24 14:37:30+00:00,241.69334483177704,10.036004244311483,-3.8486088813482904,254.65611001834745,14.3975,2024-12-28 14:37:30+00:00,328.7224556935124,121.33104883961094,-2.6249122181112527,331.1074012242626,250.64622208412675,30.0,-3.8486088813482904,22
2024-12-24 14:52:30+00:00,242.9292873262464,10.068181472591151,-3.854893039047095,238.115305444349,14.407916666666669,2024-12-28 14:52:30+00:00,330.66663485048656,121.19385048228206,-2.626162495639196,332.74207011686144,252.4886485950068,30.0,-3.854893039047095,22
2024-12-24 15:07:30+00:00,244.15606876627075,10.103016771948472,-3.858916377874347,253.13200340385723,14.418333333333331,2024-12-28 15:07:30+00:00,332.5644787261122,121.05665215658306,-2.627412686202018,333.3333333333333,253.1326184624491,30.0,-3.858916377874347,22
2024-12-24 15:22:30+00:00,245.37306082789297,10.140471971122832,-3.8607205657534087,298.25357631981444,14.42875,2024-12-28 15:22:30+00:00,332.5644787261122,120.91945386245636,-2.6286627897550887,334.94713411240957,252.97724321987647,30.0,-3.8607205657534087,22
2024-12-24 15:37:30+00:00,246.57966739945,10.180506689808054,-3.86035222326594,295.8002292978257,14.439166666666669,2024-12-28 15:37:30+00:00,334.39840643508506,120.78225559992347,-2.629912806252744,338.8146911519199,254.23146199287925,30.0,-3.86035222326594,22
