time,longitude,radius,latitude,Vr,Times_Earth,Vr_pred_Earth,SpiralOrigin_Lon_deg,SpiralOrigin_Rs,SpiralOrigin_Lat_deg
2025-03-20 18:07:30+00:00,327.9153444172817,30.59057733750454,2.7992290087888345,333.6369944420399,,,327.7131953045751,30.0,2.7992290087888345
2025-03-20 18:22:30+00:00,327.91713397794666,30.48698712782431,2.792277839896487,348.09767251515166,,,327.75736751350024,30.0,2.792277839896487
2025-03-20 18:37:30+00:00,327.91994233690605,30.38326260599537,2.7852600455788004,362.49659126432505,,,327.79919938664705,30.0,2.7852600455788004
2025-03-20 18:52:30+00:00,327.9237812782481,30.279403571156298,2.7781747303249302,358.37940016759455,,,327.8347468085102,30.0,2.7781747303249302
2025-03-20 19:07:30+00:00,327.9286627992417,30.175409834196586,2.771020981978216,348.2923735942333,,,327.87114804940956,30.0,2.771020981978216
2025-03-20 19:22:30+00:00,327.9345990671215,30.071281206239835,2.7637978736054496,353.5461062555239,,,327.9115741410805,30.0,2.7637978736054496
2025-03-20 19:37:30+00:00,327.9416024431177,29.96701750379267,2.7565044622305015,350.79168405676126,,,327.9523399509568,30.0,2.7565044622305015
2025-03-20 19:52:30+00:00,327.94968548634114,29.862618548949143,2.749139788504042,351.73350933726755,,,327.9942904937772,30.0,2.749139788504042
2025-03-20 20:07:30+00:00,327.958860957613,29.75808416972557,2.741702876372369,344.45943238731223,,,328.0390648542715,30.0,2.741702876372369
2025-03-20 20:22:30+00:00,327.9691418235568,29.653414200163304,2.734192732720509,357.1275508932798,,,328.0799716547116,30.0,2.734192732720509
2025-03-20 20:37:30+00:00,327.98054126088897,29.548608480567243,2.726608347014446,350.474419390968,,,328.12762556584454,30.0,2.726608347014446
2025-03-20 20:52:30+00:00,327.9930726338595,29.443666851809404,2.718948692220584,350.5725688647746,,,328.17430103898056,30.0,2.718948692220584
2025-03-20 21:07:30+00:00,328.0067495710366,29.338589171842663,2.7112127209709,359.75949763989047,,,328.21670557315707,30.0,2.7112127209709
2025-03-20 21:22:30+00:00,328.02158592030037,29.233375304803474,2.703399367535814,344.6855870895938,,,328.2755831285391,30.0,2.703399367535814
2025-03-20 21:37:30+00:00,328.03759574592743,29.128025119728992,2.6955075477905024,347.77158359170045,,,328.32393384876156,30.0,2.6955075477905024
2025-03-20 21:52:30+00:00,328.05479334452974,29.022538493192997,2.6875361582816284,354.18576415237516,,,328.3699582300666,30.0,2.6875361582816284
2025-03-20 22:07:30+00:00,328.07319324982876,28.91691530957687,2.6794840758186167,358.66411656968734,,,328.4180539855093,30.0,2.6794840758186167
